id,sent0,sent1,gold_label
18111,Grapes grow on trees,Grapes grow on the vine
18112,There are fish in the river,There can be no fish in the river
18113,Wine is made of bananas,Wine is made of grapes
18114,Winter temperature in the north is very low.,Winter temperature in the north is very high.
18115,Nails never grow,Nails always grow
18116,Milk is good for health,Milk is bad for health
18117,Alcohol can be disinfected,Alcohol cannot be disinfected
18118,Bulls can conceive,Bulls can't conceive
18119,Don't get too close to the screen when you watch TV.,"The closer your eyes are on the screen, the better."
18120,The moon can produce light,The moon cannot produce light
18121,People sweat when it's cold,People sweat when it's hot
18122,Rubber will tighten over time,Rubber never gets tougher
18123,It's more comfortable sitting in a chair without a back.,It's more comfortable sitting in a chair with your back.
18124,Sparks are easily generated when you take off your sweater in winter.,There's never a spark when you take off your sweater in winter.
18125,People feel strong when they catch a cold,People feel weak when they catch a cold
18126,She uses the pot to cook.,She uses the bin to cook.
18127,There are more mosquitoes at night than at day,There are more mosquitoes in the day than in the night.
18128,Snow is white,Snow is red
18129,Open the window when you get up in the morning,Open the Pared when you get up in the morning
18130,Human blood is green,Human blood is red
18131,Flourish Wintersweet in summer,Flourish Wintersweet in winter
18132,Bamboo is solid.,Bamboo is Hueco
18133,Doors can be opened without the key when they're locked.,Doors cannot be opened without the key when they are locked.
18134,Glue can be used to glue things,Glue can't be used to glue things
18135,Pyramids are not used to live,Pyramids are used to live
18136,Get up early in the morning and open the window to block the fresh air.,Get up early in the morning and open the window to let fresh air in.
18137,Hot springs are hot,Hot springs are frozen.
18138,A towel can dry the water in its body.,A towel can't dry the water in its body.
18139,Plastic doesn't change when exposed to sunlight,Plastic turns fragile when exposed to sunlight
18140,A building can float over the water.,A boat can float in the water.
18141,The silk road was paved with silk,The silk road was not paved with silk
18142,There are still living dinosaurs in the world.,There are no living dinosaurs in the world.
18143,Cut apples do not change colour when exposed to air for a long time,Cut apples become yellow when exposed to air for a long time
18144,Smoking does not affect health,Smoking is bad for your health.
18145,Owls have very rigid necks,An owl can turn his neck back
18146,The largest area of the earth is the ocean.,The largest area of the earth is the earth.
18147,The tongue doesn't know,Tongue can taste
18148,Honey peaches are not peaches.,Honey peaches are peaches.
18149,Human appearance is not only determined by genes.,Human appearance is only determined by their genes.
18150,Edible salt can be used for seasoning,Edible salt cannot be used for seasoning
18151,Sugar and salt have a different taste,Sugar and salt taste the same
18152,"When there's no water when there's thirst, you can use oil instead.","When there's no water when there's thirst, you can't use oil instead."
18153,The glass must be transparent.,The glass can be transparent.
18154,Use scissors to cut paper,Use a pen to cut paper
18155,Aunt is a female,Aunt is a boy.
18156,A magnifying glass expands the Vision of Objects,A magnifying glass expands the Vision of Objects
18157,A man has two legs.,A man has four legs.
18158,Eyelashes grow on your eyes,Eyelashes grow above the mouths
18159,Normal people can distinguish between colors,Normal people can only see black and white
18160,Durian smells,Durian doesn't smell.
18161,The pandas are colored on the outside,Pandas only have two colors in their appearance
18162,Sea horses live in the meadows,Sea horses live in the sea
18163,The body can sweat through the skin,The body can only sweat through the tongue
18164,The surface of the bitter melon is not smooth,Bitter melon has a smooth surface
18165,Seedless sandwiches don't have seeds,Seedless sandwiches have no fruit
18166,Birds can fly,Birds can only fly
18167,Squirrels have very small tails,Squirrels have big tails
18168,The leaves will fall,Leaves won't fall
18169,Snakes never spill their skins.,Snakes spill their skins as they grow
18170,People sometimes yawn,People never yawn
18171,Snakes walk standing,Snakes don't walk standing
18172,People's hair turns white when it ages,People's hair will remain black when it ages
18173,Ostrich can't fly,Ostrich can fly
18174,Winter in Antarctica is colder than Australia,Winter in Antarctica is warmer than Australia
18175,Each volcano erupts,Some volcanoes don't explode.
18176,A camel's hump is useless.,A camel's hump is useful.
18177,There's little vegetation in the desert.,There are lots of green plants in the desert.
18178,Clouds will fall to the ground,Clouds don't fall to the ground
18179,The clouds aren't solid.,The clouds are solid
18180,The tide of the sea never rises or falls,The tide of the sea rises and falls sometimes
18181,The sun is a hot ball,The sun is an ice ball.
18182,Earth is a sphere,The earth is a cube.
18183,Fish can float and sink into water,Fish cannot float or sink into water
18184,Fish will jump out of the water before they sink.,Fish will jump out of the water before Llueva
18185,Ostriches never put their heads in the sand.,Ostriches always put their heads in the sand.
18186,Wild geese in line when they fly,Butterflies line up when they fly
18187,Sugar can degrade teeth,Sugar can degrade the spine
18188,Steam condenses in water when the temperature drops,The water evaporates in steam when the temperature drops
18189,His obsession with alcohol brought him ill health.,His obsession with sports brought him bad health.
18190,The metropolitan buildings have become taller than ever before.,The trees in the metro have become taller than ever.
18191,He was dismissed because he was able to meet the company ’ s requirements,He was dismissed because he did not meet the company ’ s requirements
18192,I raised my neck against the wind to keep the heat.,I climbed my neck against the Fog to keep me warm.
18193,This device is designed for the conversion of waste products,This device is designed for the conversion of waste into usable products
18194,Ardilla will make a nut store for the winter.,Ardilla will make a leaf store for the winter.
18195,Babies often crawl down the floor before learning to walk,Babies usually walk down the floor before learning to crawl.
18196,He's under undue pressure and needs to exercise gently.,It has been placed under undue pressure and needs to exercise vigorously
18197,"He didn't drink at the party, so he's sober enough to take us home.","He drank a lot at the party, so he's sober enough to take us home."
18198,The girl who forgot to bring a coat was shaken in the warm.,The girl who forgot to bring a coat was in the cold.
18199,Prey can provide against flood,The ship can provide against the flood
18200,Eat Rancio bread for breakfast every day,Eat fresh bread for breakfast every day
18201,A veteran driver often gets lost,A rookie driver often gets lost
18202,The waiter brought us the drinks for a towel.,The waiter brought us the drinks for a tray.
18203,"The boy, stealing a book, was chased by the merchant.","The boy, buying a book, was chased by the merchant."
18204,Patients with hypertension Daily salt intake should be reduced,Patients with hypertension Daily salt intake should be increased
18205,It's a common truth that guys are smarter than girls.,It's a common fallacy that boys are smarter than girls.
18206,My weight fluctuated savagely depending on how much I eat.,My weight fluctuated savagely depending on how long my hair was.
18207,Sumerge your hair to see how hot the water is.,Put your hand in to see how hot the water is.
18208,Rain will destroy forests,Acid rain will destroy forests
18209,Global warming poses a threat to many rare species on Earth,Energy shortages pose a threat to many rare species on earth
18210,Pushed the acceleration pedal hard to avoid a collision.,Pushed the brake pedal hard to avoid a collision.
18211,He washed his car with the garden rake.,He washed his car with the garden hose.
18212,We took the kids to the dock to see the ships.,We took the kids to the zoo to see the boats.
18213,We picked shells on the beach.,We picked shells in the grass.
18214,My mom bought the couch at the Power Company.,My mom bought the couch at the department store.
18215,Many students are moving towards scientific subjects.,Many students must choose scientific subjects
18216,"His father is a rich businessman, so he always cares about money.","His father's a rich businessman, so he never cares about money."
18217,A strong typhoon destroyed the city.,A soft breeze destroyed the city.
18218,They remembered the good old times together.,They remembered the good morning in the future together
18219,There were so many people I had to join the line for the bathrooms.,There were so many people I had to skip the line for the bathrooms.
18220,Bad weather makes the jam better,Bad weather makes traffic jam worse
18221,"Eating fish, removing fish meat.","Eating fish, removing the bones from fish"
18222,Sellers always introduce the advantages of their products to customers,Sellers always introduce the disadvantages of their products to customers
18223,"This month's spending has exceeded the limit, so we can eat at the restaurant for the next time.","This month's spending has exceeded the limit, so we can only eat at home for the next time."
18224,It's easy to find a needle on the page.,It's hard to find a needle on the page.
18225,"If your hands are dirty, you can clean them with a tissue.","If your hands are dirty, you must clean them with tissue."
18226,It's wrong to drink and drive.,It's right to drink and drive.
18227,Carpenters can jump between trees,Monkeys can jump between trees
18228,It's summer and few flowers are on the flower,It's summer and many flowers are on the flower
18229,Plum flowers bloom in winter,Plum flowers bloom in summer
18230,Sandia can eat in summer,Sandia can't eat in summer
18231,Rainbows usually come after the rain,Rainbows usually appear at night
18232,Tomatoes taste good when they're fresh.,Tomatoes taste good when they're rancid.
18233,Cows are herbivores.,Cows eat meat
18234,Use the elevator when there's a fire.,Don't use the stairs when there's a fire.
18235,She loves her father and wants to marry him.,She loves her boyfriend and wants to marry him.
18236,"He's too happy to say"" hello ""to his teacher.","He's too shy to say"" hello ""to his teacher."
18237,You should go to school early.,You should be late for school.
18238,It's right to face punishment when you do something wrong.,It's right to run when you do something wrong.
18239,Old man likes to play chess.,The old man likes to dive.
18240,We can't smoke in public.,We have to smoke in public.
18241,Man can be born again,Man can't be born again
18242,You can succeed if you work hard,He must succeed if he works hard.
18243,All mosquitoes Chupan blood,Not all mosquitoes Chupan blood
18244,You can take other people's things without permission.,Don't take everyone else's stuff without permission.
18245,Eating a lot of sugar can't make people fat.,Eating a lot of sugar can make people fat.
18246,Pedestrians must not comply with traffic rules,Pedestrians must abide by traffic rules
18247,The opposite sex can get married in this world.,Same sex can't get married in this world.
18248,Students can't eat in class.,Students can eat in class.
18249,Family harmony is good for children's growth.,Family discord is good for the growth of children.
18250,I can make a Snow Doll in winter.,I can make a Snow Doll in the summer.
18251,We can see stars during the day.,We can see the stars at night.
18252,People over 20 can get married.,Minors can get married.
18253,A frog's mother is a frog.,The mother of a squirrel is a squirrel.
18254,People wear Paraguay on windy days.,People take Paraguay on rainy days.
18255,Typhoons often happen inside.,Typhoons usually occur in coastal areas.
18256,The moon can't shine on its own.,The moon can shine by itself.
18257,People always sleep during the day.,People always sleep at night.
18258,Stop with a yellow light while driving.,Stop at a red light when you drive.
18259,Knives are safe for small children.,Knives are dangerous for small children.
18260,Horror movies make people feel scared.,Drama makes people feel scared
18261,Too much sugar is bad for your teeth.,Too much sugar is good for teeth.
18262,We can take the hair for breakfast.,We can have eggs for breakfast.
18263,Birds are good swimming.,Fish are good swimming.
18264,We see Our ears.,See Our eyes.
18265,You can't drive after drinking.,You can drive after drinking.
18266,Golden fish don't blink.,Golden fish can blink.
18267,Feathers are light.,The fridge is very light.
18268,Time can go back.,Time can't go back.
18269,Money can buy everything.,Money can buy you what you want.
18270,Adversity makes a man grow.,Prosperity makes people grow.
18271,Summer is too hot to wear a condol belt.,Summer is too hot to wear coats.
18272,You can go to the pharmacy to buy food.,You can go to the supermarket and buy food.
18273,People play football on the court of Baloncesto.,People play football in the football field.
18274,Teachers like students with good grades.,Teachers like students with bad qualifications.
18275,I can do my homework with chalk.,I can do my homework with a pen.
18276,Tom made many friends for his extroversion.,Tom made many friends because he was very introverted.
18277,There's a lot of clouds in the sky.,There's a lot of clouds in the sea.
18278,I'm glad I got 100 in the English test.,I'm sad to have 100 in the English test.
18279,People can read in the sun.,People must always read in the sun.
18280,Like a lot of vegetables every day for my health.,Like a lot of junk food every day for my health.
18281,The police work at the police station.,The doctor works at the police station.
18282,"When we arrived at the railway station, the plane had gone flying.","When we arrived at the railway station, the train was already gone."
18283,"To protect the environment, people should drive more cars.","To protect the environment, people should ride more bicycles."
18284,Whales are egg laying animals.,Crocodiles are animals that lay eggs.
18285,Dogs can eat chocolate.,Dogs can't eat chocolate.
18286,I can see the weather out the window.,I can see the weather out through the Pared.
18287,Watermelons are cheap in summer.,Watermelons are cheap in winter.
18288,The wooden union went to the forest to cut trees.,The wooden union went to the meadow to cut trees.
18289,Trains can run over Rieles.,Cars can run over Rieles.
18290,Cold is an incurable disease.,Cold is a curable disease.
18291,Playing basketball should wear shoes.,Playing basketball should wear basketball shoes.
18292,The results of the examinations are very important for students.,The results of the examinations are not important to students.
18293,The human needs to regain his strength through exercise.,Human beings need to restore their force to sleep.
18294,The human heart is always resting.,The human heart is beating all the time.
18295,Soldiers often need to undergo tough training.,Soldiers often need easy training.
18296,The sun will disappear cloudy days,The sun still exists on cloudy days
18297,Drinking too many drinks is bad for your health.,Drinking too many drinks is good for your health.
18298,Coke is a fruit juice drink.,Coke is a carbonated drink.
18299,People should get into conflict.,People should understand.
18300,You need to buy tickets when you take the train.,You don't need to buy tickets when you take the train.
18301,The duty of a doctor is to protect his family and his country.,A doctor's duty is to save lives and injuries.
18302,Tides are a natural phenomenon,Tides are an artificial behavior.
18303,Everybody wants to be ugly.,Everyone wants to be beautiful
18304,Wolf is a very kind animal.,Wolf is a very ferocious animal.
18305,Oil is a non-renewable energy source,Oil is a renewable energy source
18306,Humans usually work during the day and sleep at night.,Human beings usually sleep during the day and work at night.
18307,Dinosaurs are the ancestors of humanity,Monkeys are the ancestors of humans.
18308,The fun park is a good place to play.,The fun park is a good place to sleep.
18309,The trees at BSorben nutrient through their roots,The trees are nutrient when eating
18310,I put the ketchup on the bread.,I put the tomatoes in the bread.
18311,The invention of Aircraft disrupted people's lives.,The invention of Aircraft has made people's lives easier.
18312,Everyone should be courtesy to an ambulance.,Everybody should block ambulances.
18313,Honey is the juice secreted by the queen bee.,Honey is the juice that secrets bees.
18314,The diamond is made of carbon.,The diamond is composed of metal elements.
18315,Vegetables can provide people with a lot of fat.,Vegetables can provide rich people with vitamins.
18316,The moon is always round.,The moon will wreak or shake
18317,The territory of each country may be violated,The territory of each country is inviolable
18318,"The universe has only one planet, which is Earth.",The universe has many planets.
18319,Thieves steal people's arms,Thieves steal people's money
18320,Music is a very beautiful sound.,Music is a very bad sound.
18321,A scarf is a kind of preservation of warmth.,A scarf is just a decorative article.
18322,Refrigerator accelerates food deterioration,Refrigerators prevent food from being ruined
18323,Whales are the largest mammals in the world,The man is the largest mammal in the world.
18324,Fish are cold-blooded animals.,Rabbits are cold-blooded animals.
18325,Minors can buy cigarettes,Minors are not allowed to buy cigarettes
18326,Gym is a good place to eat.,A gym is a good place for sports.
18327,I really like the Sandy because it's very unpleasant.,I really like the Sandy because it's very delicious.
18328,"He's a selfish man, so he's very popular.","He's a passionate person, so he's very popular."
18329,Expresses bread oil for breakfast,I expressed tomato sauce in bread for breakfast.
18330,The Steam engine is the most important record in human history.,The Steam engine is one of the most important inventions in human history.
18331,Peter was five minutes late to catch the last bus.,Peter arrived five minutes late on the last bus.
18332,The poor are very rich.,The rich are very rich.
18333,Piano is one of my favorite instruments.,The Basketball is one of my favorite instruments.
18334,We can go to the Barbero and cut our hair.,We can go to the barbarians for dinner.
18335,He likes to explore the sea on foot.,He likes to explore the mountains on foot.
18336,Sound can travel in the air.,Sound can travel in the Vacuum.
18337,The emperor was the most powerful man of Antiquity.,Ordinary people are the most powerful people of antiquity
18338,Mobile phones are a portable means of communication,Mobile phones are a portable means of transport
18339,Crossing the road is dangerous.,Crossing the road is very safe.
18340,Everyone should have a quality of honesty.,Everyone should have a cheating quality.
18341,A hat is a protective device.,A hat is just an ornament.
18342,The eye is the organ to see,Ear is the organ to see
18343,Friendship is an important food,Friendship is an important emotion
18344,Everyone's living habits are different.,Everyone's living habits are the same.
18345,People need to use short sleeves in winter to resist the cold.,People need to wear winter clothes to resist the cold.
18346,Different dress styles can give people different feelings.,Different dress styles will give people the same feeling.
18347,Ships have to sail at sea.,Ships need to travel ashore.
18348,A lot of alcohol is good for your health.,A lot of alcohol is bad for your health.
18349,Drivers without a driver's licence can drive on the road.,Drivers with a driving licence can drive on the road.
18350,Emergency Carriles can handle themselves in Highways,Emergency carriages shouldn't be occupied on the highway.
18351,There are plenty of plants in the desert.,There are plenty of plants in the oasis.
18352,You should run when you feel tired.,You must rest when you feel tired.
18353,There's a lot of classrooms in school.,There's a lot of dinosaurs in school.
18354,Shoes should be on the hanger.,Shoes should be on the shelf.
18355,People can pick apples from trees.,People can pick strawberries from trees.
18356,Plastics are very hard.,Steel is very hard.
18357,Pigs can survive in the ocean.,Fish can survive in the ocean
18358,The fabric can be used to make clothes.,Clothes can be used to make rings.
18359,People need to eat to get energy.,Humans don't need to eat to get energy.
18360,Tigers live in the jungle,Tigers live in the ocean
18361,I need to eat to relieve hunger.,I need a bath to relieve hunger.
18362,Buses need gas to work.,Buses need water to run.
18363,Maquillaje can make the girls more beautiful,Maquillaje can make the girls ugly
18364,Cars can travel by land.,Cars can travel in the sky
18365,The Rabbit is very ferocious.,The Rabbit is very cute.
18366,Lots of people like to drink fruit juice.,Lots of people like to drink petrol.
18367,Piraña is a very ferocious fish.,Piraña is a very kind fish.
18368,Salt is the most common condiment in life,Salt is the most common animal in life.
18369,The cups can be used to drink water.,Cups can be used to eat
18370,The Ocean is fit for human existence,The land is suitable for human survival
18371,Old skin turns very soft.,The old skin turns very hard.
18372,Drinking too much beer will make you appetite.,Drinking too much beer can make people puke.
18373,Driving on the sidewalk should be slower.,Driving on the sidewalk must be accelerated
18374,There's a lot of icebergs in the Arctic.,There are many deserts in the Arctic.
18375,"When you feel cold, you must add clothes.","When you feel cold, you must cut your clothes."
18376,There are many stars in the entertainment circle.,There are many animals in the entertainment circle.
18377,Wool comes from shredders.,Wool comes from sheep
18378,"This dress is very expensive, so I can't afford it.","This dress is very cheap, so I can't afford it."
18379,The lemon tastes very sweet.,The lemon knows very much Agrio.
18380,The color of the sea is blue.,The color of the sea is red.
18381,The heater can provide a low-temperature environment,Refrigerators can provide a low-temperature environment
18382,We can go swimming in the pool.,We can go swimming in the classroom.
18383,A lot of people like to make phone calls on their mobile phones.,A lot of people like to make phone calls with bricks.
18384,He likes to travel by mobile phone.,He likes to travel in Avion.
18385,You can open the window and let the sun in.,You can change the sun and let it in the sun.
18386,You should consult a doctor when you are ill.,You should go to the cook when you're sick.
18387,There are many white rabbits floating in the sky.,There are many clouds floating in the sky.
18388,We can learn from books.,We can eat book food.
18389,Water can be used to extinguish fires.,Petrol can be used to extinguish fires.
18390,Internet cafe is a good place to browse the Internet.,Internet coffee is a good place to learn
18391,Fresh cake tastes terrible.,Fresh cake tastes very delicious.
18392,Elephants are one of the most important human inventions.,Computer is one of humanity's most important inventions
18393,People can have fun in the playground.,People can have fun in the Company.
18394,Dinosaurs don't exist now.,Dinosaurs still exist today.
18395,I have five legs.,I have two legs.
18396,I can heat food in the microwave.,I can heat food in the washing machine.
18397,Maple leaves are Red in the fall.,Maple leaves are green in the fall.
18398,A soldier's duty is to teach and educate.,A soldier's duty is to protect his country.
18399,People can go to space in Avion.,People can go to space by spaceship.
18400,I have sandals in winter.,I have sandals in the summer.
18401,The WALKING MAN IN Ten Legs.,The WALKING MAN IN TWO LEGS.
18402,I called a fireman after he passed out.,I called an ambulance after she passed out.
18403,Penguins live in the air.,Penguins live on land and water
18404,Some girls like handsome guys.,All girls like handsome guys.
18405,I look taller in Tacones tall.,I look shorter in Tacones tall.
18406,Mosquitoes bite people.,Flies bite people.
18407,Students can't cheat on exams.,Students can cheat on exams.
18408,People can't drive on the road without a license.,People can drive on the road without a license.
18409,Those who work hard are sure to succeed.,Those who work hard can succeed.
18410,All people use the right hands to write.,Some people use the right hands to write.
18411,Music can make people nervous.,Music can relax people.
18412,The sun falls in the east.,The sun rises in the east.
18413,We can see animals in the botanical garden.,We can see animals at the zoo.
18414,You can lose weight eating Chatarra food.,You can lose weight exercising.
18415,I can watch movies in the movies.,I can play computer games in the movies.
18416,Humans can fly.,Humans can't fly.
18417,"The harder you study, the better your grades will be.","The more you play, the better your grades will be."
18418,The Espejism may appear in the desert.,The Espejism can only appear in the desert.
18419,Playing computer games for a long time is bad for health.,Playing computer games for a long time is good for health.
18420,Fish can live without water.,Fish can't live without water.
18421,I'm reading the book.,I'm listening to the book.
18422,Breakfast is good for health.,Breakfast is bad for health.
18423,Junk food is bad for our body.,Junk food is good for our body.
18424,Writing papers is a great way to relax.,Listening to music is a great way to relax.
18425,Men can give birth to their children.,Women can give birth to their children.
18426,Electric light is a great discovery.,Electric light is a great invention.
18427,Frogs can live in the water.,Frogs can't live on land.
18428,Coffee tastes too weak for her so she asks for some milk.,"Coffee tastes too strong for her, so get some milk."
18429,We took Paraguay on a rainy day.,We can't take an Paraguay on a sunny day.
18430,I can go to school by bus.,I can fly to school.
18431,Fishermen can catch sharks in the river.,Fishermen can catch sharks at sea.
18432,Pears grow on trees.,Potatoes grow on trees.
18433,Mobile phones can't be used to take a video.,Mobile phones can be used to make calls.
18434,Men can't keep long hair.,Women can keep their hair long.
18435,Tim always goes to the same restaurant for breakfast.,Tim always goes to the same gym for breakfast.
18436,Having a special skill is very important for new graduates.,Special skill is not important for new graduates.
18437,We need to reload the mobile phones.,Mobile phones don't need to reload
18438,People should rank everything after they use it.,People don't need to classify everything after using it.
18439,Young workers are not often neglected in the workplace.,Young workers are often neglected in the workplace.
18440,People are anxious when they go to a strange environment.,People aren't anxious when they go to a strange environment.
18441,"When it rains, you must take an Paraguay.","When it rains, you shouldn't take an Paraguay."
18442,Excessive obesity is bad for your health.,Excessive obesity is good for your health.
18443,Excess thin is not good for your health.,Excess thin is good for your health.
18444,"If you don't understand, you shouldn't ask questions.","If you don't understand, I should ask questions."
18445,People's thoughts should not be updated from time to time.,People's thoughts should be updated from time to time.
18446,Playing chess is good for people.,Playing chess is bad for people.
18447,Managers don't usually have strong skills.,Managers usually have strong skills.
18448,The family environment is not important to children.,The family environment is very important for children.
18449,Peel doesn't need to be made before eating fruit.,"Before eating fruit, you should peel."
18450,Lions like to eat weed.,Lions like to eat meat.
18451,English teachers are good at teaching arithmetic.,Mathematics teachers are good at teaching arithmetic.
18452,Birds can fly by wings.,The man can fly by the wings.
18453,He wants to go to the supermarket to buy a pet.,He wants to go to the pet store to buy a pet.
18454,I work 30 hours a day.,I work 24 hours a day.
18455,Rabbits can mimic human discourse.,The wolves can mimic human discourse.
18456,People can learn to drive in primary schools.,People can learn to drive in driving schools.
18457,The man can revive.,The man can't revive.
18458,Let's turn on the air conditioning to cool down in the summer.,Let's turn on the air conditioning to cool down in winter.
18459,Tigers are ferocious animals.,Dogs are ferocious animals.
18460,I can see the moon rise at night,I can see the moon rise in the morning
18461,A car has two wheels.,A bicycle has two wheels.
18462,People eat with their eyes.,People eat with their mouths.
18463,Kids like to eat sugar.,Kids like to take meds.
18464,Patients live in hospitals.,Patients live in a fun park.
18465,Bicycle is an environmentally friendly means of transport.,The car is an environmentally friendly means of transport.
18466,People feel bad when they're sick.,People are comfortable when they're sick.
18467,Students can cheat on exams.,Students can't cheat on exams.
18468,The table can bring us light.,The light can bring us light.
18469,You eat breakfast in the morning.,You eat breakfast at night.
18470,I saw clouds floating in the sky.,I saw clouds floating in the sea.
18471,We have to wear cotton jackets in the summer.,We have to wear cotton jackets in winter.
18472,The air people breathe is oxygen.,The air people breathe is carbon dioxide.
18473,People need to sit and walk.,People need to walk on their feet.
18474,I'm wearing my shoes on my feet.,I'm wearing my clothes on my feet.
18475,I keep the food in the microwave oven.,I keep the food in the fridge.
18476,Eating too much for dinner is bad for health.,Eating too much for dinner is good for health.
18477,People can communicate through language.,Man and monkey can communicate through language.
18478,Mobile phones can be used when off duty.,Mobile phones can be used when they have electricity.
18479,Bees can make honey.,Butterflies can make honey.
18480,There's no real life dragon.,There are dragons in real life.
18481,I can see bacteria through a microscope.,I can see bacteria with naked eyes.
18482,I can see myself at the Pared.,I can see myself in the mirror.
18483,Make it warm to have long hair in the summer.,Make it warm to have long hair in the winter.
18484,He lit his cigarette with wood.,He lit his cigarette with a lighter.
18485,Cancer is easy to cure.,Cancer is hard to cure.
18486,Waste batteries are harmful to the environment,Waste batteries are good for the environment.
18487,People build houses on the ground.,People build houses in the air.
18488,Not all cars burn oil.,All cars burn oil.
18489,We fed turtles with dog food.,We fed our dogs with dog food.
18490,The woman puts facial cream in her mouth.,The woman puts lipstick in her mouth.
18491,Three-year-old children can drink wine.,Three-year-old children can't drink wine.
18492,People enjoy the fresh under the trees.,People enjoy the fresh under the street lamp.
18493,Players play basketball with their hands.,Players play football with their hands.
18494,People can take the subway underground.,People can take the subway in the air.
18495,No Internet makes people's lives more convenient.,The Internet makes people's lives more convenient.
18496,Man can't live without air.,Man can live without air.
18497,Planting more trees is beneficial for wind and sand fixation.,Cutting more trees is beneficial for wind protection and sand fixation.
18498,Bananas are citrus.,Lemons are citrus.
18499,People go to the vegetable market to buy vegetables.,People go to the park to buy vegetables.
18500,Leaves are green in summer.,Leaves are yellow in summer.
18501,The fruit matures in autumn.,The ripe fruit in spring.
18502,People use telescopes to see things clearly in the distance.,People can see things clearly in the distance with their naked eyes.
18503,Kids like to eat appetizers.,Kids like to eat paper.
18504,Water can quench thirst.,Books can stir up thirst.
18505,Fish can leave the water.,Fish can't get out of the water.
18506,The turtle runs very fast.,Rabbits run very fast.
18507,Students cook at school.,Students study at school.
18508,The sun comes out in the morning.,The sun comes out at night.
18509,Ice will freeze when the sun shines on it.,The ice will melt when the sun shines.
18510,I can pick up apples from the pear.,I can pick up apples from the apple tree.
18511,The fire is hot.,The ice is hot.
18512,You can speak freely in class.,You can't speak freely in class.
18513,People can live without water.,People can't live without water.
18514,People can cross the road at will.,People can't cross the road at will.
18515,A couple of excursion shoes would help when you climb a mountain.,A couple of tall Tacons would help when you climb a mountain.
18516,Children can play with fire freely.,Children shouldn't play with fire.
18517,Luchar is a good behavior.,Fighting is a bad behavior.
18518,Raw water can't be drunk.,Raw water can be drank.
18519,The moon appears during the day.,The sun appears in the day.
18520,Apple is a kind of fruit.,Chicken is a kind of fruit.
18521,The wind can fly sand easily.,The wind can blow the house easily.
18522,They caught a rabbit in the woods.,They caught a fish in the woods.
18523,Most of the grass is uncomfortable.,The whole weed is awkward.
18524,The street lamp lights up when it's dark,The street lamp lights up when it's bright
18525,He's a farmer and a good student farmer.,He's a farmer and good at growing crops.
18526,They went camping and lived in five-star hotels.,They went camping and lived in Campaign stores.
18527,We're going to the hospital to see a doctor.,Let's go to the restaurant and see a doctor.
18528,The sun rises in the west.,The sun is set in the west.
18529,Eating more sugar regularly is good for teeth.,Sticking your teeth regularly is good for your teeth.
18530,Playing more computer games can improve academic performance.,Hard work can improve academic performance.
18531,Drinking coffee helps children grow up higher,Drinking milk helps children grow up higher
18532,People can change their destiny working hard.,People can change their destiny for pleasure.
18533,Teachers like honest kids.,Teachers like dishonest children.
18534,We can make a lot of noise in the library.,We can't make much noise in the library.
18535,We can't smoke in public.,We can smoke in public.
18536,Children can only receive knowledge from their teachers.,Children may receive knowledge from their teachers.
18537,Bats go hunting during the day.,Bats go hunting at night.
18538,I can play badminton alone.,I can't play badminton alone.
18539,There's a lot of water in a desert.,There's a lot of sand in a desert.
18540,Koreans like pickles.,All Koreans like pickles.
18541,She called me and sounded my phone.,She called me and rang her phone.
18542,We should wash our hands after we go to the bathroom.,We don't need to wash our hands after we go to the bathroom.
18543,Staying late can shorten a person's life.,Staying late can prolong a person's life.
18544,People usually relieve stress by killing people.,People usually relieve stress by listening to music.
18545,You have a fever and you need to keep working.,You have a fever and you need a good break.
18546,"When we're sad, we laugh.","When we're happy, we laugh."
18547,Yesterday he went out with an alien.,Yesterday she went out with a classmate.
18548,Man can't live from Mercury.,The man can live from Mercury.
18549,We can't spit everywhere.,We can spit everywhere.
18550,You can't eat spoiled food.,You can eat spoiled food.
18551,Most people have hearts in their right chest.,Most people have hearts on the left chest.
18552,Lobsters are beneficial insects.,Lobsters are plagues.
18553,He never rides on roller coaster because he has heart disease.,He often rides on roller coaster because he has heart disease.
18554,People should eat too much.,People should eat reasonably.
18555,Pencils can be used to write.,A ruler can be used to write.
18556,It was so hot that I drank a cup of hot water.,It was so hot he ate ice cream.
18557,Tied the stick with a rope,Tied the stick with a snake.
18558,I was in such a good mood that I couldn't help dancing.,I was in such a bad mood that I couldn't help dancing.
18559,"He had a lot of work to do, so he left early.","He had a lot of work to do, so he worked overtime."
18560,He turned off the fire with oil.,He turned off the fire with water.
18561,He opened the gate before he left.,Closed the gate before leaving
18562,He fell asleep and was late for work.,He fell asleep and arrived early in the office.
18563,He took a knife and started hairdressing.,He took a comb and started hairdressing.
18564,"Water in the pot boiled, so he turned off the fire.","Water in the pot boiled, so he set fire."
18565,His lyrics are so good that people always praise him.,"His lyrics are very ugly, so everyone praises him."
18566,"There was a lot of garbage on the floor, so he started sweeping the floor.","The floor was impeccable, so he started sweeping the floor."
18567,The film was so funny that she cried out for sadness.,The movie was so funny it made her laugh
18568,The problem was so difficult that he solved it easily.,The problem was so hard it took him a long time to solve.
18569,I went to the museum in the afternoon.,I went to the museum at midnight.
18570,"He's afraid of the dark, so he leaves every night.","He's afraid of the dark, so he barely leaves at night."
