id,FalseSent,id,generated,ranking
1459,Journals can help people in forgetting important events.,1459,Journal cannot help people in forgetting important events.
1467,All proteins are enzymes.,1467,Proteins are not enzymes.
67,The fire will cool you if you touch it.,67,Fire will burn you if you touch it.
194,My neighbor has a sore throat so she took her car to the garage.,194,A car cannot be taken to a garage.
903,the bird spilled milk on the floor,903,Birds don't have milk to spill.
1605,Sunlight grows in plants.,1605,Plants do not have sunlight.
246,The boy ate a bush.,246,A bush is not edible.
1336,The rich pay the same taxes as the poor.,1336,The rich pay more taxes than the poor.
1548,The man ate the bowl when he was hungry.,1548,A bowl is not edible.
837,some people ride tigers to work,837,Tigers are not a mode of transportation.
200,Joe got a parking ticket because he drives too fast.,200,Driving fast does not get you a parking ticket.
1440,Sarah put a shark in the lobster.,1440,A shark is much bigger than a lobster.
1837,he put all three of his legs into the trousers,1837,You don't put all three legs in the pants
1967,he sent me a text message from his ashtray,1967,Ashtray is not a communication device.
178,John plays football in outer space.,178,Football is not played in outer space.
693,I hate the film so I keep watching it,693,"If you hate a film, you should stop watching it."
1559,Exercising is not healthy,1559,Exercising is good for health
1973,She read the interesting book for dinner.,1973,Interesting books are not food.
1777,He put a truck in the chair.,1777,A truck is too big to fit in a chair.
559,Kids like to sleep with grizzly bears.,559,People do not sleep with grizzly bears.
1996,today my hand is very clear to see the world,1996,Hands are not used to see the world.
1125,I brushed my hair with a wrecking ball.,1125,A wrecking ball is not used to brush your hair.
417,Christmas eve is the most ordinary night of the year,417,Christmas eve is the most important day of the year.
861,the boat flew in the air,861,Boats do not fly in the air
863,a flower petal is part of a motor vehicle,863,Flower petals are not part of a motor vehicle.
1672,the mouse ate the cat,1672,Mice don't eat cats.
537,My brother adopter a tiger from a shelter,537,Tigers are found in zoos.
745,Renting movies is the newest trend,745,Renting movies is not a new trend.
344,She brought a microwave to bed.,344,A microwave is too big to fit in a bed.
939,he cut the grass with a shovel,939,A shovel is not sharp enough to cut grass.
1825,A rock can fly in the sky.,1825,Rocks can't fly.
699,I would like to fry a PS4,699,A PS4 is not edible.
635,"When people cry, tears come out of their ears",635,Tears come out of the eyes not ears.
488,A dog can live in an aquarium.,488,A dog cannot live in an aquarium.
40,Birds live in a house,40,Birds do not live in houses.
398,At day people can see many stars.,398,Stars are not visible during the day.
1723,Some people will not die,1723,Most people die at some point.
111,If you want to buy presents for others then you should figure out what you want,111,You can't buy presents for others.
989,she used motor oil to wash her hair,989,Motor oil is not used to wash hair
440,The rug is bleeding,440,Rugs don't bleed.
1184,Mike went to the grocery store three blocks away by plane,1184,Planes don't go to grocery stores
1318,"When you are outside,  you will be sweating.",1318,Sweating does not occur outside.
479,Snowmen are liquid.,479,Snowmen are not liquid.
265,Everyone hates racists.,265,Racists are not hated by everyone.
1719,Trees cause a lot of pollution,1719,Trees do not cause pollution.
1422,The pitcher threw a ball at 200 MPH.,1422,A pitcher cannot throw a ball at 200 MPH.
1648,My brother is awarded a silver medal when he wins the race.,1648,Silver medals are not given in winning a race.
991,the fan was blowing guns,991,A fan cannot blow guns.
1220,If you want to have a party then you should invite things,1220,Invitation is not the only way to have a party
235,I swam to the lowest point of the ocean in one breath,235,You can't swim to the lowest point of the ocean in one breath.
41,Something you need to do before you grow vegetables is filling the ground with cement,41,Cement is not used to grow vegetables.
306,Orange juice is green.,306,Orange juice is not green.
1555,Boats float on the road,1555,Boats do not float on the road.
857,"every time I go to the shops, I buy a dog",857,Dogs are not sold at shops
974,the baseball pitcher hit a home run during the pitch,974,Pitchers don't hit home runs.
77,He bought groceries at the zoo.,77,Groceries are not sold at the zoo.
92,A group of people seated at bed for a meal,92,Bed is not a place for eating.
1111,Sleeping with makeup on nourishes your skin and makes it healthier.,1111,People do not sleep with makeup on their skin.
619,My dog purred when I came home.,619,Dogs do not purr.
1907,Sally taught mathematics for ninety years since she was 30,1907,No one can teach mathematics for ninety years
1295,she put a rhino in the fridge,1295,A rhino is much bigger than a fridge.
539,He jumped through the happiness,539,Happiness cannot be jumped through.
1646,Math is not useful these days,1646,Math is a very useful tool for many people.
1883,People are usually green,1883,People are usually red.
1642,Orange juice is made of apples,1642,Apples are not used in juice.
1196,A car engine is usually cooler after driving the car.,1196,A car engine is not a cooling device.
1233,The train waited for a passenger for an hour,1233,Trains don't wait for passengers.
766,my mother switch on the radio to watch movie,766,Radios don't play movies.
170,"Toothbrush is a small brush with a long handle, used for cleaning the car",170,Toothbrush is not used for cleaning the car
263,Empty books are educational.,263,Empty books are not educational.
115,Each day someone gets younger.,115,Every day someone gets older.
1337,Runny eggs can last best by leaving them out in the sun.,1337,"If the eggs are left out in the sun, they will die."
1030,beepers are becoming even more popular,1030,BEEPERS are not used to make music.
1947,He took his goldfish for a walk,1947,Goldfish can't walk.
1289,"When you close a door,  it can be walked through.",1289,"When you close a door,  it cannot be walked through."
737,She purchased four supermarket tickets.,737,Supermarkets don't sell tickets.
264,If you want to go for a jog then you should start singing,264,Singing does not help you jog.
1033,he drove to the moon before it closed at 9pm,1033,The moon is not open at 9pm.
91,"a rock is a bouncy, round object made of rubber",91,Rocks are not bouncy objects.
410,She continued watching TV as she urinated in her pants.,410,You can't watch TV while urinating.
1351,He left his dog at a service center for an oil change,1351,A service center does not provide an oil change.
932,my brother always play football in a swimming tank,932,A swimming tank is not a football field.
1253,Plants don't need the sunlight to grow.,1253,Plants need sunlight to grow.
944,any dead dog can learn how to do a trick with his breed,944,Dead dogs are not able to learn tricks.
364,Please turn on the lights? It is shinny,364,Lights are not shinny
161,She drove eloquently into the sky.,161,You cannot drive in the sky.
942,elephants eat rabbits and rats,942,Elephants are carnivores and eat meat.
1412,Jane put a shark on her vegetable.,1412,Sharks don't grow on vegetables.
1083,Malls are found in the sky.,1083,Malls are not found in the sky.
1901,Turkey is a color,1901,Turkey is not a color
702,She's a yogurt now and doesn't do anything fun,702,Yogurt is a food.
218,Paper comes from tears cried by the planet,218,A planet does not cry tears
574,He ate an interesting book.,574,Books are not edible.
184,You are likely to find zebras in an office building,184,Zebras do not live in office buildings
276,Outfielders catch the ball from pitchers.,276,Pitchers do not catch balls.
409,He fed the dog eucalyptus leaves.,409,Dogs don't eat eucalyptus leaves.
531,Plastic is not reusable,531,Plastic is recyclable.
1856,a donkey rides a bike,1856,A donkey cannot ride a bike.
986,the sun rises in the west,986,The sun rises in the east
994,kids do not learn how to speak until they learn to walk,994,People learn how to speak and walk at the same time.
1611,I cooked the chicken in the refrigerator.,1611,Chicken cannot be cooked in a refrigerator.
1871,she likes to sit on babies from time to time,1871,Babies are not a place to sit.
191,The order entered a system by the assistant.,191,An assistant is not a person to enter a system.
1418,Volcanoes produce snowballs when they erupt.,1418,Volcanoes do not produce snowballs.
365,Joey likes to eat poison,365,Poison is not edible.
1075,The dog was clean after playing in the mud.,1075,Playing in the mud will make the dog dirty.
1024,humans use gas to wash their clothes,1024,Gas is not used to wash clothes.
245,Knives heal children.,245,Knives are not used for healing.
1283,There is a car engine on an airplane,1283,Airplanes do not have car engines.
529,Racism is over,529,Racism is not over.
1093,I took home the gold during class.,1093,Gold cannot be taken home.
905,at night it's easy to find sun,905,Sun is not found in the night.
899,He returned five octopus to the library,899,Library is not a place to store octopus.
832,rats can eat snakes,832,Snakes are not eatable.
1120,she wants to drink some water because she is full,1120,"If you are full, you should not drink water."
1939,I bought a car in the book store,1939,A book store does not sell cars.
1043,people behave softly if they are angry,1043,People behave loudly when they are angry.
883,all films are real life,883,Films are fictional.
1757,my car is smaller than my bike,1757,A car is much bigger than a bike.
1287,He played a game with fairies,1287,Fairies don't exist.
1114,"If it is a sunny day, you would got wet.",1114,Sunny days don't make you wet.
8,ice hockey is a financial institution,8,Hockey is not a financial institution.
1945,He put water without a container in the freezer for 24 hours,1945,Water without a container will not fit in the freefreezer for 24 hours
1053,The desert has sand that you can drink.,1053,Sand is not a liquid.
1123,My friend runs for 2 inches every day.,1123,No one can run for 2 inches.
