id,FalseSent,OptionA,OptionB,OptionC
1793,He put on a bike.,Bicycles are not clothing.,Bike is not a clothing item.,Bike is not a thing to put on.
324,She put the filing cabinet into the papers.,The filing cabinet is much bigger than the papers.,A filing cabinet is not a paper.,A filing cabinet is too big to fit in papers.
339,My bird is about forty feet tall.,Birds are not that tall.,Birds are not tall.,Birds are much taller than their feet.
1229,No one drinks milk because you cannot absorb nutrients from it.,Milk contains a lot of nutrients.,Milk is not a nutrient.,Milk does not contain nutrients.
650,He cut the onion with a spoon,Spoon cannot cut the onion.,A spoon is not sharp enough to cut the onion.,Spoon is not a spoon
1506,The man who flies a plane is called a conductor.,A conductor does not fly a plane.,A conductor is a person who is responsible for the operation of a train.,The man who flies a plane is called a conductor.
333,He is wearing gloves on his feet.,Gloves are worn on hands.,Gloves are not worn on feet.,Gloves are worn on feet.
6,Grizzly bears hate honey.,Honey is the favourite food of Grizzly bears.,Grizzly bears are herbivores.,Honey is not a kind of bear.
1449,He left the cat in the kennel.,A cat cannot fit in a kennel.,A cat is not a pet.,A cat is too big to fit in a kennel.
1419,Traveling by teleporting can take quite a long time.,Teleporting takes very little time.,Teleporting is not a form of transportation.,Telecommunication is not a mode of transportation.
15,The frog has claws and a stinger on its tail.,A frog does not have claws or a stinger.,Frogs have no claws.,Frogs do not have claws.
1584,peoples use a handkerchief for eyes while the bike rides,A handkerchief is not used for eyes.,People use a bike for eyes.,A handkerchief is used for eyes
1630,Thanks for giving days starts the new year,Giving days are not part of the new year.,Days start the new year.,New year starts new year
611,The counter fell off the lamp,A counter is much bigger than a lamp.,A lamp is not a counter.,A lamp does not provide a lamp
1432,He can cook a whole elephant in a frying pan,An elephant is too big to fit in a frying pan.,An elephant is much bigger than a frying pan.,An elephant is not a frying pan
1293,Rocks may float when placed in water.,Rocks do not float.,Rocks are not solid.,Rocks do not float.
429,he likes to drink motor oil,Motor oil is not a drink.,Motor oil is not a drink.,Motor oil is not a drink
1942,The bowling ball is swimming in the pond.,Bowling balls do not swim.,Bowling balls are not swimming objects.,A pond is too small to swim in a bowling ball.
252,He put bricks in the oven for baking,Bricks are not edible.,Bricks are not baked.,Bribricannot bakbakoven
1001,he kept his prized horse in his pocket and had it taken care by a florist,A florist does not deal with horses.,A florist would not be able to take care of a horse.,A f@@
1569,"It might rain later today,  be sure to grab your breakfast before you leave.",Breakfast can't keep you dry from the rain,Breakfast is not a means of protection from the rain.,Rain is not good for breakfast.
1885,We do not use the internet in today's generation.,There are many people who use the internet.,Internet is a communication tool.,There is no internet in the world
1352,There are top hats in the freezer,A top hat would not fit in a freezer.,Top hats are not in the freezer.,Top hats are in the freefreefreefree@@
332,Most people sleep in a shoe.,Shoes are not used for sleeping.,People sleep in a bed.,Shoe is not a place to sleep.
1536,Many ships are sunk when they enter Canada.,Ships don't sink when they enter Canada,Ships are not sunk when they enter Canada.,Ships are sunk when entering Canada.
1442,the fish is fishing,A fish can't swim.,Fish don't have hands to fish.,Fish do not fish
1510,He put the basketball inside a cup,A basketball is too big to fit in a cup.,Basketballs are too big to fit in a cup.,Basketbasketball is not a cup
606,The last thing you do when you leave the home is curling your hair.,Curling your hair is the first thing you do when you leave the home.,Curling your hair is not a way to go home.,Curling your hair is not the last thing you do when you leave home.
1781,She washed the car in the sink.,A car is too big to fit in a sink,A car is not a liquid.,A sink is too small to wash a car.
901,the baby held a grizzly bear,A grizzly bear is much bigger than a baby.,A grizzly bear is too big to hold.,A baby cannot hold a bear
402,She hung a post-it note on her pin-board using a cockroach,A cockroach is too small to hang a post-it note on a pin-board,A post-it note is not a thing to hang on a pin-board.,A cockroach is not used in a cockroach
1311,"It was an August morning when Jessica,  a receptionist living in Toronto,  decided to wear her snowsuit to work.",You don't wear a snowsuit to work.,Snowsuits are worn in winter.,A receptionist can't wear a snowsuit.
279,He flew the airplane to Jupiter,You cannot fly an airplane to Jupiter.,Jupiter is too far away to fly an airplane.,An airplane cannot fly
1891,The sky is underground,The sky is not underground.,The sky is above the ground.,Sky is in the sky
1472,Its cooler in Arizona than anywhere in the USA.,Arizona is one of the hottest places in the USA.,Cooler is not a place.,Arizona is not a place to cooler.
53,A graphics tablet enables VR games to be played on a computer,A graphics tablet is used to play computer games.,A graphics tablet is not a computer.,A graphics tablet does not play games on a computer
10,My sister visited art museum with her zebra,Zebras are not allowed in museums.,Zebra is not a museum.,Zebra is not a museum
1892,the library has only one storybook,The library has many storybooks.,Libraries have many stories.,A library has only one book
880,Jack lost his giraffe,A giraffe is too big to be lost.,Giraffe is not a toy.,A girabird is a animal
1070,"Dogs can come in many different colors such as red, blue, and green.",Dogs come in many different colors.,Dogs are not colorless.,Dogs do not come in many colors.
420,She put an ice cream in the oven.,Ice cream would melt in the oven.,Ice cream is not a food.,Ice cream would melt in the oven.
1741,TORTOISE RUNS FASTER THAN CAT,Tortoises are much slower than cats.,Tortoises don't run faster than cats.,Tortoise is a tortoise
1301,He put a motorcycle in his wallet,A motorcycle is too big to fit in a wallet,A motorcycle is not a wallet.,A motorbike cannot fit in a wallet
1917,Video games are not fun,Games are fun.,Games are fun.,Video games are not fun
219,She was drinking from a plate,Plates are not used for drinking.,A plate is not a liquid.,Plates are not a plate
1204,My car is going to the church service,A car cannot go to a church service.,Cars don't go to church.,Church is not a church service
1230,She was interviewed after she got the offer,She was interviewed before she got the offer,Interviews are done after the interviewee is hired.,You don't get an offer
1179,"if he is retarded,  he will pass the examination","If he is retarded, he cannot pass the examination.","If he is retarded, he will not pass the examination.","If you are retarded, you don't pass examination"
960,we drove our car for 40000 miles before having to stop for an oil refill,You cannot drive a car for 40000 miles without stopping for an oil refill,Oil refills are not required for driving.,We can't drive a car for more than miles before stopping for oil refill
615,The woman had her hair cut at the hardware store.,Hardware stores don't cut hair.,Hardware stores don't have hair cutters.,A hardware store does not have haircuts.
1165,You are likely to find Rice bags in shoe shops,Rice bags are not sold in shoe shops.,Rice bags are not found in shoe shops.,Shoe shoe stores do not have Rice bags
24,She came off walking across the Pacific ocean,You can't walk across the ocean.,Walking across the ocean is not possible.,You can't walk across the ocean
273,A rainbow can appear on the ground,Rainbows appear in the sky.,Rainbow is not a thing to appear on the ground.,Rainbow cannot appear on the ground
1428,Birds do not fly,Birds have wings to fly.,Birds can fly.,Birds do not fly
862,she threw the football to the batter,A batter does not play football.,A football is too heavy to be thrown.,You don't throw football to the bat
1830,You are unlikely to ever find a book in the library.,There are many books in the library.,Books are found in libraries.,Library is not a place to find books.
1409,He put a snake on pizza.,Snakes are not edible.,A snake is not a pizza.,A snake cannot fit on a pizza.
1993,I sliced the strong meat with my Kitchen spoon.,A Kitchen spoon is not sharp enough to cut meat.,Kitchen spoons are used for cooking food.,Kitchen spoons are not sharp enough to cut meat.
622,The giraffe likes to ride  bicycle,A giraffe cannot ride a bicycle.,Giraffe is not a bicycle.,A giraffe does not ride a bicycle
607,She started a fire in the fridge.,Fridge is not a place to start a fire,Fridge is not a place to start fire.,A fridge is not a place to start a fire.
588,School is where animals go to dance,Animals do not dance.,School is not a place for dancing.,Animals do not dance
1344,Drinking beers makes the girl become an alien,Aliens don't exist.,Beer is not a liquid.,Drinking beers makes a girl an alien
990,if you want to have a pear then you should go to the toilet,Toilet is not a place to have pear,You can't have a pear in the toilet.,You should go to the toilet to have a pear
1323,Colgate is a brand of beer,gate is not a brand of beer.,Colgate is a brand of coffee.,Colgate is not a brand beer
315,She made a clown make a shirt,Clowns do not make shirts.,Clowns don't make shirts.,A clowis made a clowis made a shirt
28,"For Lunch, I made an armadillo sandwich for my husband.",An armadillo is not a sandwich.,Armadillo is not a sandwich.,"""For Lunch, I made an armadand sandwich for my husband."""
347,I wore a notebook to work.,You can't wear a notebook.,A notebook is not a dress.,Notebook is not a wearable item.
408,An old car is expensive.,Old cars are not expensive.,A car is not expensive.,An old car is expensive.
756,"if you want fresh fruits and vegetables, you should destroy them",You can't get fresh fruits and vegetables by destroying them.,Fresh fruits and vegetables are not destroyed.,If you want fresh fruit and vegetables you should destroy them
1677,I want a dirty house,No one wants a dirty house,A house is not dirty.,Dirty houses are not dirty
1877,Cat runs faster than a cheetah,Cheetah is the fastest animal,A cheetah is a animal and a cat is a living creature.,Cheetah is not a cat
462,All mammals have fingerprints.,Not all mammals have fingerprints.,Mammals have no fingerprints.,All mammals have fingerprints.
630,"If it is a sunny day, you would have gotten wet","If it is sunny, you would not get wet.",Sunny days are not wet.,You would get wet when it is sunny day
846,she ran toward the dangerous-looking man in the alley,A dangerous-looking man would not be in an alley.,A dangerous-looking man is not a person to run toward.,You can't run in the alley
1115,Cats played cards last night.,Cats don't play cards.,Cats don't play cards.,Cats do not play cards.
1880,Leafs are useless,Leafs have many uses.,Leaves are not useless.,Leafis are useless
1018,you can go swimming and fishing at a zoo,Zoo is not a place to go swimming and fishing,Zoo is not a swimming pool.,Zoo is a zoo
584,Elephants life at the north-pole.,Elephants do not live at the north-pole.,Elephants live in Africa.,Elephants do not live in the north pole.
917,I decided to pack my microwave into my suitcase,A microwave is too big to fit in a suitcase.,Microwave is not a suitcase.,Microwave is not a suitcase
1934,Doctors do not have to study too much,Students need to study to learn.,People study a lot to be able to do well in school.,Doctors don't need to study
1127,A brave cat saved a drowning child this morning at Zion Beach!,A cat cannot save a drowning child.,A brave cat is not a person.,A drowning child cannot be saved by a brave cat
1908,He put a giraffe in the pantry.,A giraffe is too big to fit in a pantry.,Giraffe is too big to fit in a pantry.,A giraffe is much bigger than a pantry.
1502,"It was very hot,  so she put on her snowsuit and then ran and jumped into the pool.",A snowsuit is not suitable for swimming,Snowsuits are not used to run in the pool.,Snowsuits are not hot enough to jump into the pool.
1818,I close my eyes to drive safely,You can't drive safely with your eyes closed.,Driving safely requires you to close your eyes to drive.,I close my eyes to drive safely
180,my boyfriend drinks diesel after breakfast every day,Diesel is not a drink.,Diesel is not a drink.,Diediesel does not drink
621,I and the goats had a nice barbecue yesterday,Goats don't eat meat.,A barbecue is not a kind of food.,A barbecue is not a barbecue
1173,There are whales in a big city,Whales live in the ocean.,Whales live in the ocean.,Whales live in a big city
805,she put the ice cream in the oven,Ice cream would melt in the oven.,Ice cream is not a food.,Ice cream does not go in the oven
1811,The vegetarian ate a big dinner of horse meat and vegetables from the garden.,Vegetarians don't eat horses.,Horses are not vegetables.,Vegetarians don't eat horse meat and vegetables.
256,London goes in this bus.,No one can go in a bus.,A bus is not a vehicle.,London is not a bus.
617,Alcoholic drinks are served in bowls.,Alcoholic drinks are not served in bowls.,Bowls are not used for serving alcohol.,Alcoholic beverages are not served in bowls.
642,he went up a valley,You cannot go up a valley.,A valley is too small to go up.,You can't go up a valley
816,the fire is cold,Fire is hot.,Fire is hot.,Fire is cold
1577,"If you do your job badly, you will get paid regardless","If you do your job badly, you will not be paid.","If you do your job badly, you will get paid.","If you do your job badly, you get paid independently"
1265,You are likely to find chocolate in the wild.,Chocolate is not found in the wild.,Chocolate is not found in the wild.,Chocolate is not found in the wild.
787,a bulb is used to cool the room,A bulb does not cool a room.,Bulbs are used to cool the room not to cool the room.,A bulb is used to cool the room
374,I just deposited ten tigers in the banks and will get doubled in six years.,Tigers cannot be deposited in the banks.,Ten tigers are not a bank.,Tigers are not kept in banks.
548,Going to the movie is fun for animals.,Animals don't watch movies.,Animals don't enjoy watching movies.,Animals are not allowed to go to movies.
1106,My neighbor is a fish.,A fish cannot be a neighbor.,Fish cannot live on land.,A neighbor is not a fish.
232,A man walked from his home to the moon.,The moon is in outer space.,A man cannot walk from his home to the moon.,A man cannot walk from home to the moon.
1170,people often use flowers to remind them of important events,Flowers don't remind people of important events.,Flowers are not used to remind people of important events.,Flowers are not used to remind people of important events
1940,The blind girl saw the red car.,A blind person cannot see a car.,Blind people cannot see things.,A blind girl cannot see a car.
589,Apples can only be found in orchards.,Apples are not found in orchards,Orchards are not the place to find apples.,Apples are not found in orchards.
1498,a turkey is a pig,A pig is not a turkey.,A turkey is a bird.,A turkey is not a pig
1387,Sound is always faster than light,Light is always faster than man.,Sound is not faster than light.,Sound is always faster than light
1730,The woman eats a wooden sandwich.,Wood is not edible.,Wooden sandwich is not a food.,Sandwiches are not edible.
343,She throws a stove in the hat.,A stove is too big to fit in a hat,A stove is not a hat.,A stove is too big to fit in a hat.
767,the neighbor park their car in the middle of the street,A car cannot be parked in the middle of the street.,A car cannot park in the middle of the street.,A neighneighpark a car in the middle of the street
852,I put many elevators in the car,Elevators are too big to fit in a car,Elevators are not used in cars.,Elevators are too big to fit in a car
1834,The man at the beach.,Beaches don't have men.,A man is not a beach.,Beach is not a place to live.
1097,Humans do not eat food.,Humans eat food.,Humans eat food.,Humans do not eat food.
1654,It is beautiful to stay hydrated,It is not beautiful to stay hydrated.,Water is not a liquid.,It is beautiful to stay hydrated
1725,She used water to make the campfire.,Water is not flammable.,Water is not a fire.,Water is not flammable.
1003,cars are the only way to get around,There are other ways to get around.,Cars are not a mode of transportation.,Cars are the only way to get around
1920,The soccer player kicked a football into the goal.,The soccer player kicked a football into the goal.,A soccer player would not kick a football into the goal.,A soccer player cannot kick a football.
1462,The groom threw the bridal party at the bride,The groom cannot throw the bridal party at the bride,Bridesmaids are not allowed to throw a wedding party.,Bridal party is not a bribri@@
1044,fishing nets are useful for covering a window,Fishing nets are too small to cover a window,"Fishing nets are used for catching fish, not for covering a window.",Fishing nets are used to cover a window
1733,The house shoved him,Houses don't have hands.,A house is not a human being.,House is a house
499,You will probably find a front condo in a room.,A front condo is too big to fit in a room,A front condo is not a place to live.,A front condo is much bigger than a room.
858,The primary school did not accept members under the age of forty,A primary school does not accept members under the age of forty.,The school does not accept members under the age of forty.,People under the age of up to
251,The farm is in carpet,Farm is not a carpet,A carpet is not a farm.,Carpet is not a farm
1133,Billy kicked the frisbee into the goal,A frisbee cannot be kicked into the goal.,Frisbee is not a football.,Billy kicked the frisbee into the goal
765,she bought two supermarket tickets,Supermarkets don't sell tickets.,You can't buy tickets at a supermarket.,Supersupermarket tickets are not sold
1507,HE PUT A CUPBOARD IN THE OVEN,A cupboard is too big to fit in an oven.,A cupboard is too small to put a cupboard in.,Oven is an oven
1970,the boy fed the fish with a ball,A ball cannot feed a fish.,Fish cannot be fed with a ball.,A ball is not a ball
706,she keeps the camel inside the fridge.,A camel is much bigger than a fridge.,A camel is not a fridge.,Camel is much bigger than the fridge.
1833,The boy kicked the house.,A house is much bigger than a boy.,A house is too heavy to kick.,A house is too big to kick.
1493,Spatulas are great for both hiking and fishing.,Tatulas are not suitable for hiking and fishing.,Spatulas are not used for fishing.,Spatulas are not big for hiking and fishing.
964,"there are only 3 colors, red, yellow and blue",There are many colors.,There are many colors.,"Red, yellow, yellow and blue"
687,my brother speaks to the house,Houses cannot speak.,A house is not a language.,A house is not a house
1523,he put an airplane on the bed,An airplane is too big to fit on a bed.,An airplane is too big to be put on a bed.,An airplane cannot be put on a bed
1460,I hike on surfboards.,Surfboards are not suitable for hiking.,Surfing is not a hiking activity.,Surfboards are too small to ride on.
406,He was in the backyard in Minnesota growing some burgers.,Burgers are not grown in the backyard.,Burgers are not grown in the backyard.,Burgers are not grown in backyard.
562,Smartphone is a device used for transportation,Mobile phones are used for communication.,Smartphone is a device used for communication.,Smartphone is a device used for transportation
1855,He dried himself with a train ticket,A train ticket cannot be used to dry himself.,A train ticket is not a drying material.,A train ticket does not require a train ticket to dry
1067,Milk contains alcohol.,Milk does not contain alcohol.,Milk contains milk solids.,Milk does not contain alcohol.
708,Books are piglets with flowers in their hair,Flowers do not grow on piglets.,Books are not piglets.,Books are not piglets with flowers in their hair
18,She strictly does not allow food into her house,Food is allowed in the house.,Food is allowed in the house.,Food is not allowed inside a house
442,My uncle runs over the waters on weekends.,You can't run on water.,People don't run over the water.,No one can run over the water on weekends.
677,A fish was walking on the roadside,Fish can't walk.,Fish don't have feet.,A fish cannot walk on the road
207,Pens are for painting,Pens are for writing.,Pens are not used for painting.,Pens are for painting
1746,"After driving for fifteen minutes, he turned on the ignition.","After driving for fifteen minutes, he turned off the ignition.",Ignition is not a vehicle.,"""When you drive, you turn on the ignition."""
153,A television is something that you seat on daily.,A television is not a seat.,A television is not a seat.,Television is not a place to sit on.
411,He took the giraffe to the store,A giraffe is much bigger than a store.,Giraffe is not a store.,A giraffe is not a giraffe
134,She turned in her homework five years after it was due and got full credit,Five years is too long to turn in homework.,"Five years after a homework is due, it is not creditable.",Turning in her homework five years after it was due to get her full credit
1513,she put a horse in the washing machine,A horse is too big to fit in a washing machine,A horse is not a washing machine.,A horse cannot fit in a washing machine
1503,Basketball is played with pianos,Pianos cannot play basketball.,Basketball is played with a basketball ball.,Basketball is played with a piano
1752,He closed the blinds because it was too dark,Closing the blinds would make it darker.,Blinds are used to block the light from the outside.,Blinds are not dark
430,Plants need motor oil.,Plants do not need motor oil.,Plants don't need motor oil.,Plants do not need motor oil.
1933,He put a shark into the fridge.,Sharks don't belong in fridges.,Sharks are not food.,A shark is much bigger than a fridge.
1378,she went to buy a toothbrush at a flower shop,Flower shops don't sell toothbrushes.,Flowers shop sells flowers not toothbrush.,Flower shops do not sell toothbrush
1433,The cat drank milk in the duck.,A duck is too small to hold a cat.,A cat cannot drink milk.,Cats do not drink milk.
1209,Reading to your children can make them stronger,Talking to your children does not make them stronger.,Reading to children is not a way to strengthen them.,Reading to your children can make them stronger
1369,She put her shoes on the stove in the morning.,Shoes don't belong on the stove.,Shoes are not used to cook.,A stove does not have shoes.
498,She taught Spanish to her lilac bush.,Lilac bushes don't speak any language.,A lilac bush is not a language.,Lilac bush is not a language.
517,He placed the table on top of the pencil,A table is much bigger than a pencil.,A pencil is not a table.,A table cannot be put on a pencil
1286,grandparents don't love their children,Parents love their children.,Grandparents are not children.,Grandparents love their children
709,Her mom messed up her daughter's hair.,A mom wouldn't want her daughter's hair messed up.,Hair is not a thing to mess up.,A daughter's hair is not bad for her.
443,My window speaks very well.,A window cannot speak.,Window does not speak.,Windows cannot speak.
1935,Jumping is very important.,Jumping is very dangerous.,Jumping is not necessary for a person to be healthy.,Jumping is very dangerous.
1346,The kid took her mother to the school,A kid cannot take her mother to the school.,A school is not a place for a kid to go.,Children do not take their mother to school
1384,Hats can protect you from an accident,Hats don't protect from accidents.,Hats are not designed to protect from an accident.,Hats do not protect from an accident
1223,he hit a helicopter over the flag,Helicopters don't fly.,Helicopters are not used to hit the flag.,A helicopter cannot fly a flag
269,I eat rocks every day for lunch.,Rocks are not edible.,Rocks are not food.,Rocks are not edible.
356,The lizard climbed the ocean.,Lizard cannot climb the ocean,Lizards don't climb the ocean.,A lizard cannot climb the ocean.
1314,A grapefruit is bigger than a pumpkin.,A grapefruit is smaller than a pumpkin.,Grapefruit is smaller than a pumpkin.,A grapefruit is bigger than a pumpkin.
823,it snows in summer,It does not snow in the summer.,Summer is not a season of snows.,It snowsnow in summer
210,I was doing my laundry at the library.,Libraries don't have laundry facilities.,Libraries don't have laundry facilities.,A library is not a place to do laundry.
739,The snake sleeps on the mice that come through the alleys,Snakes do not sleep on mice.,Snakes don't sleep on mice.,Snake cannot sleep on mimimimi@@
595,Friends have to talk to each other every day,No one can talk to each other every day,People don't talk to each other.,Friends have to talk to each other everyday
482,Stepping through the window is the usual way to enter a room.,The usual way to enter a room is through the door.,A window is not a door.,Stepping through the window is the normal way to enter a room
1453,"""When she said """"Go to the store"" she meant the plane had arrived.""",Planes don't land at stores.,Model prompt >>> .,""" When you say """" Go to the store """", you mean the plane arrive. """
266,He broke his leg and went to get a burger,You can't get a burger with a broken leg.,Burger is not a medical treatment.,A burger is a burger
1382,People take showers when they feel happy.,People don't take showers when they feel happy,People take showers when they feel tired.,Showers do not make people happy.
1101,Ripping a paper in half creates six pieces.,Ripping a paper in half creates six pieces.,A paper is not a living thing.,You can't rip paper in half.
1518,He cut the lawn with his scissors.,Scissors are not sharp enough to cut grass.,A scissors is not sharp enough to cut a lawn.,Scissors are not sharp enough to cut the lawn.
141,Dogs require aluminum to survive.,Dogs do not need aluminum to survive,Dogs don't need aluminum.,Aluminum is not necessary for dogs to survive.
552,He combed a bookshelf because it is hairy.,A bookshelf does not have hair.,Bookshelf is not a comb.,A bookshelf cannot be combed because it is hairy.
1631,There is a man in the oven,A man cannot fit in an oven.,A man cannot fit in an oven.,An oven is not a man
140,The car can go the speed of light,A car cannot go the speed of light.,Cars are not able to go the speed of light.,The speed of light is not the speed of the car
1080,He put stone into the fridge.,Stones are not food.,Stone is not a food.,Stones are too hard to fit in a fridge.
1214,books are used to watch a movie,Movies are watched with eyes.,Books are not used to watch movies.,Books are used to watch a movie
460,Michael swam across the Pacific Ocean,The ocean is too big to swim across.,Swimming across the ocean is not possible.,Michael can't swim across the ocean
1036,dinosaurs are alive on earth,Dinosaurs are extinct.,Dinosaurs are extinct.,Dindinosaurs are extin@@
379,I like to drink coffee beans in the morning,Coffee beans are not edible.,Coffee beans are not a liquid.,Coffee beans are not drink in the morning
1019,he put a chair in the basket,A chair would not fit in a basket.,A chair is too heavy to fit in a basket.,A chair cannot fit in a baskbask@@
1315,I put a dumpling in the washing machine,Dumplings do not belong in the washing machine.,Dumplings are not food.,A dumpling would not fit in a washing machine
334,Horse uses its trunk to drink water,A horse does not have a trunk.,Horse does not have trunk.,A horse cannot use a trunk to drink water
731,my brother always takes mud in the morning,Mud is dirty.,Mud is not a food.,Mud can't take mud
715,My roommate waters his cell phone every morning.,Cell phones do not need to be watered.,Watering a cell phone is not a way to water it.,Cell phones cannot be watered.
375,My dog is laying on the ceiling.,A dog cannot lay on the ceiling.,Dogs don't lay on ceilings.,A dog is much bigger than a ceiling.
419,A dog can cut down a tree.,A dog cannot cut down a tree.,A dog cannot cut down a tree.,A dog can't cut a tree.
842,we go to the disco to pray every weekend,A disco is not a place to pray.,The disco is not a place to pray.,Disco disco is not a place to pray
1159,I picked up a basket full of peppers from the tree in the yard.,Peppers don't grow on trees.,Peppers are not found in the yard.,Peppers don't grow on trees.
1221,Joe asked Mary to have a date because he dislikes her,"If he dislikes her, he wouldn't want to have a date.",Mary is not a person to have a date with.,People don't like people
1404,people like to dress nothing on the street,Nothing can be worn on the street.,People dress on the street.,People don't like to dress things on streets
641,he bought the bike from the bookstore,A bookstore does not sell bikes.,Books don't sell bikes.,Bibike is not sold in bookstores
32,The farm went to the farm,A farm cannot move.,A farm is not a place to go.,A farm does not go to a farm
1591,You don't need to read,People need to read to survive.,You need to read to understand.,You need to read
1129,My dad grew volleyballs in his garden.,You can't grow volleyballs.,A volleyball is not a plant.,Volleyballs are not grown in a garden.
1666,i stand up in the theater,Theater is not a place to stand up,Theater is not a place to stand up.,Theater is not a theater
1638,Every good singer is a member of the family of John Legend,John Legend is not a singer.,John Legend is a famous singer.,John Legend is not a member of the family
554,My sister eats a pair of scissors,Scissors are not edible.,Scissors are not food.,Scissors are not food
224,the horse laid an egg,Horses do not lay eggs.,Horses don't lay eggs.,Horses do not lay eggs
304,The angered chocolate bar is noisy,Chocolate bars are not noisy.,Chocolate bars are not noisy.,Chocolate bar is noisy
600,Chronic pain is usually caused by a person's mood.,A person's mood does not cause pain.,Moods are not the cause of chronic pain.,Mood does not cause chronic pain.
216,Pianos have fires inside of them,Pianos do not have fires.,Pianos don't have fire inside of them.,Pianos do not have fires
278,He took his house to the park 2 blocks away,A house is much bigger than a park.,A house is too big to park in a park.,A house is not a park 2 blocks away
66,Many cancer patients lose their hand because of chemotherapy,chemotherapy does not affect hands.,Cancer patients don't lose their hands because of chemotherapy.,Cancer patients don't lose hands due to chemotherapy
1164,you are supposed to buy tickets after you get off the train,You are supposed to buy tickets before you get on the train.,Tickets are not sold on the train.,You are supposed to buy tickets after getting off the train
1684,The sky is green.,The sky is not green.,Green is not a color.,The sky is not green.
1905,honesty should be banned,Honesty is not a crime.,Honesty is a good thing.,Honehoneshould be forbidden
138,she likes to sing loudly at work,No one likes to sing loudly at work,People don't sing loudly at work.,Loulouloud at work does not sing louloulouloulou@@
1988,The whale swam in the sky,Whales can't fly.,Whales don't swim in the sky.,Whale is not a whale
1587,The man was tired of shoveling marbles every winter.,Marbles are not shoveled.,Marbles are not shoveled.,Locking marbles will make you tired.
1783,the teacher was harvesting wheat in the classroom,Wheat does not grow in the classroom.,Wheat is not harvested in the classroom.,Wheat is not harvested in the classroom
1360,You are likely to find a cow in a kennel,A cow is much bigger than a kennel.,A cow is not a pet.,A cow is not likely to find a cow in a kennel
1455,The lion used the litter box,A lion does not have a litter box.,Lions don't use litter boxes.,A litter box is not a lion
302,She read the chair a book,Chair is not a book,A chair is not a book.,A book cannot read a chair
768,shields can't protect ancient warriors from harm,Ants can protect ancient warriors from harm.,Ancient warriors have shields.,Ancient ancient people are not afraid from shadows
13,Cigarette is good for healthy,Cigarette is not good for health,Cigarettes are not good for health.,Cigarettes are harmful to health
1107,Human have four legs.,Humans have two legs.,Humans have two legs.,Humans do not have four legs.
1807,Birds were heard barking at night,Birds do not bark.,Birds don't bark at night.,Birds can't hear sound
695,He melted the TV onto the bread.,A TV cannot be melted.,TV is not a food.,You can't melt a TV on a bread.
1000,the turtle swam on the land,Turtles swim in water.,Turtles don't swim.,A turtle cannot swi@@
1653,The fish ran through the forest,Fish can't run.,Fish don't have hands to run through the forest.,Fish cannot run through forest
1064,Starfish are found in outer space,There are no fish in outer space.,Fish live in the ocean.,Starfish are not found in outer space
1237,Canvas is used for serving food,A canvas is not used for serving food.,A canvas is not a food.,Cannot is used to serve food
984,he made dinner on the television,You can't make dinner on a television.,Television is not a cooking utensil.,Television is not a place to make dinner
671,India backs Mars government,Mars has no government.,Mars is not a country.,Mars does not have a Mars government
1691,Hot Dogs are the most popular food item in America.,Dogs are not the most popular food item in America,Hot dogs are not a food item.,Hot dogs are not food items.
370,HE WAS GOING TO RESTAURANT AFTER ACCIDENT,Restaurants don't have doctors.,Restaurant is not a place to go after an accident.,Medicine is not a
1463,the bread is much sweeter than candy,Bread is not sweet.,Bread is not sweet.,Bread is sweesweethan candy
1426,Girls only like the color pink.,There are many people who like pink.,Girls like pink.,Pink is not a color of girls.
16,He inserts his thumb into the car Ignition switch.,A car ignition switch cannot be inserted into a thumb.,Ignition switch is not a thumb.,A car is an inanimate object.
798,hair gel is to be applied onto the back,The gel is to be applied onto the front.,Gel is used on the face.,Hair is applied to the back
1537,My glasses help me smell,Glasses are not used to smell.,Glasses don't have the ability to smell.,Glasses do not help smell
1954,People use cars to fly.,Cars cannot fly.,Cars are not used for flying.,Cars are not designed to fly.
1527,Babies cry in their sleep a lot.,Babies do not cry in their sleep.,Babies cry when they are crying.,Babies do not cry in their sleep.
577,He drove his boat on the highway,Boats cannot drive on the highway.,Boats are not vehicles.,A boat cannot drive a highway
840,there are 8 days in a week,There are 8 days in a week.,There are only 24 hours in a day.,There are 8 days in a week
308,Mike ran four sandwiches.,Sandwiches cannot be ran.,Sandwich is not a running object.,No one can run a sandwich.
1897,The cow ate the chickens in the pasture.,Cows don't eat chickens.,Chickens are not food.,Cows don't eat chickens.
220,"When you go out to a baseball game, you are participating in the activity of baseball.","When you go to a baseball game, you are watching a game.",Baseball is not a sport.,Baseball is not an activity.
1663,i use my dog to play cricket,Dogs cannot play cricket.,Dogs are not used to play cricket.,Dogs do not play cricket
337,Bats can ride bicycles.,Bats are too small to ride bicycles.,Bats are not able to ride bicycles.,Bats are not able to ride bicycles.
1979,Water can only be cold.,Water is a liquid and cannot be cold.,Water can be hot.,Water is cold.
124,There are lots of fish in the sky.,Fish can't fly,Fish don't live in the sky.,Fish live in the sky.
457,the ice cream stays cold in the microwave,Ice cream would melt in the microwave.,Ice cream is not cold.,Ice cream will keep cold in the microwave
1338,every people sit quietly on a bus,Most people do not sit quietly on a bus.,People sit on a bus.,Buses are not a place for people to sit on buses
